vitesse_moyenne,tension_moyenne_mesurée
2.264681339263916,0.3744
2.127724170684814,0.306
1.850328683853149,0.3597
1.626689195632935,0.478
1.528055191040039,0.4106
1.452782392501831,0.4321
1.348083972930908,0.3734
1.32781195640564,0.5073
1.265326499938965,0.4125
0.4530184268951416,0.2708
0.2186977863311768,0.2395
0.5311245918273926,0.4282
1.187220335006714,0.3597
1.155976533889771,0.4252
1.124735116958618,0.3715
1.155977010726929,0.6207
1.093491315841675,0.5816
1.124735116958618,0.5601
1.056460618972778,0.4594
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
