reel,capteur
5.0,0.5767
5.5,0.5943
6.0,0.6207
6.5,0.6188
7.0,0.6237
7.5,0.6178
8.0,0.6188
8.5,0.6149
9.0,0.5934
9.5,0.5689
10.0,0.5523
10.5,0.5249
11.0,0.5044
11.5,0.4848
12.0,0.4682
12.5,0.4467
13.0,0.4321
13.5,0.4262
14.0,0.4047
14.5,0.3959
15.0,0.3793
15.5,0.3646
16.0,0.3539
16.5,0.348
17.0,0.3372
17.5,0.3255
18.0,0.3167
18.5,0.3275
19.0,0.3382
19.5,0.2854
20.0,0.3118
20.5,0.2815
21.0,0.2737
21.5,0.2659
22.0,0.262
22.5,0.261
23.0,0.2571
23.5,0.2502
24.0,0.2424
24.5,0.2385
25.0,0.2649
25.5,0.2307
26.0,0.219
26.5,0.2297
27.0,0.2199
27.5,0.2151
28.0,0.2121
28.5,0.2082
29.0,0.2043
29.5,0.2004
30.0,0.1955
31.0,0.1916
32.0,0.1838
33.0,0.1818
34.0,0.1769
35.0,0.1906
36.0,0.1652
37.0,0.1613
38.0,0.1867
39.0,0.1544
40.0,0.1496
41.0,0.1505
42.0,0.1466
43.0,0.1437
44.0,0.1398
45.0,0.1329
46.0,0.1378
47.0,0.132
48.0,0.1457
49.0,0.1281
50.0,0.1281
51.0,0.1867
52.0,0.1232
53.0,0.1193
54.0,0.1202
55.0,0.1202
56.0,0.1153
57.0,0.1163
58.0,0.1124
59.0,0.1241
60.0,0.1085
61.0,0.1085
62.0,0.1114
63.0,0.0938
64.0,0.1046
65.0,0.1046
66.0,0.1046
67.0,0.1691
68.0,0.1417
69.0,0.0997
70.0,0.1007
71.0,0.1017
72.0,0.0968
73.0,0.0968
74.0,0.0968
75.0,0.0968
76.0,0.0802
77.0,0.0782
78.0,0.0929
79.0,0.0948
80.0,0.089
